train_number,train_name,source,destination,travel_class,booking_date,travel_date,days_before_travel,waitlist_position,month,day_of_week,is_festival_season,is_peak_season,is_weekend,train_type,confirmed,total_seats_class,cancellation_rate
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2026-01-06,2026-02-26,51,8,2,3,False,False,False,Duronto,True,302,0.077
12951,Mumbai Rajdhani,MMCT,KOTA,3A,2026-03-19,2026-04-08,20,82,4,2,True,True,False,Rajdhani,False,355,0.349
12261,Mumbai Duronto Central,CSMT,NDLS,3A,2025-10-25,2026-01-25,92,0,1,6,False,False,True,Duronto,True,324,0.275
12909,Garib Rath,MMCT,BRC,3A,2026-02-18,2026-03-10,20,1,3,1,True,False,False,Garib Rath,True,184,0.342
12267,Mumbai Duronto,MMCT,NDLS,2A,2026-02-08,2026-02-27,19,21,2,4,False,False,False,Duronto,False,321,0.326
12187,Mumbai Garib Rath,BSL,NDLS,3A,2026-02-12,2026-02-26,14,0,2,3,False,False,False,Garib Rath,True,340,0.334
12953,August Kranti Rajdhani,RTM,KOTA,3A,2025-10-21,2026-01-27,98,0,1,1,False,False,False,Rajdhani,True,293,0.334
12267,Mumbai Duronto,MMCT,NDLS,2A,2025-11-23,2026-03-21,118,0,3,5,True,False,True,Duronto,True,152,0.264
12137,Punjab Mail,MTJ,NDLS,SL,2025-11-23,2026-03-18,115,0,3,2,True,False,False,Mail,True,176,0.117
12909,Garib Rath,MMCT,NDLS,3A,2025-11-25,2026-02-08,75,0,2,6,False,False,True,Garib Rath,False,373,0.068
12953,August Kranti Rajdhani,MMCT,RTM,1A,2025-12-07,2026-02-10,65,0,2,1,False,False,False,Rajdhani,True,298,0.114
12267,Mumbai Duronto,MMCT,NDLS,SL,2025-11-21,2026-03-04,103,0,3,2,True,False,False,Duronto,True,99,0.248
12909,Garib Rath,BRC,NDLS,3A,2025-09-29,2026-01-17,110,0,1,5,False,False,True,Garib Rath,True,380,0.08
12137,Punjab Mail,ET,BPL,2A,2026-01-11,2026-02-04,24,69,2,2,False,False,False,Mail,False,192,0.189
12953,August Kranti Rajdhani,RTM,KOTA,1A,2025-12-28,2026-03-21,83,0,3,5,True,False,True,Rajdhani,True,97,0.328
12903,Golden Temple Mail,BL,KOTA,GN,2025-12-08,2026-02-07,61,0,2,5,False,False,True,Superfast,True,80,0.099
12951,Mumbai Rajdhani,SWM,NDLS,2A,2026-01-29,2026-03-06,36,34,3,4,True,False,False,Rajdhani,False,334,0.249
12621,Tamil Nadu Express,MMR,ET,SL,2025-12-22,2026-01-18,27,75,1,6,False,False,True,Superfast,True,210,0.067
12187,Mumbai Garib Rath,BPL,NDLS,3A,2026-03-10,2026-03-17,7,45,3,1,True,False,False,Garib Rath,True,170,0.171
