date,train_number,train_name,station_code,delay_minutes,month,day_of_week,is_weekend,is_monsoon,is_fog_season,is_festival_season,stop_sequence,total_stops
2026-03-12,12951,Mumbai Rajdhani,MMCT,4.5,3,3,False,False,False,True,1,5
2026-03-12,12951,Mumbai Rajdhani,BRC,13.7,3,3,False,False,False,True,2,5
2026-03-12,12951,Mumbai Rajdhani,KOTA,22.7,3,3,False,False,False,True,3,5
2026-03-12,12951,Mumbai Rajdhani,SWM,31.4,3,3,False,False,False,True,4,5
2026-03-12,12951,Mumbai Rajdhani,NDLS,29.2,3,3,False,False,False,True,5,5
2026-03-12,12953,August Kranti Rajdhani,MMCT,3.1,3,3,False,False,False,True,1,6
2026-03-12,12953,August Kranti Rajdhani,ST,0.0,3,3,False,False,False,True,2,6
2026-03-12,12953,August Kranti Rajdhani,BRC,9.5,3,3,False,False,False,True,3,6
2026-03-12,12953,August Kranti Rajdhani,RTM,6.3,3,3,False,False,False,True,4,6
2026-03-12,12953,August Kranti Rajdhani,KOTA,11.3,3,3,False,False,False,True,5,6
2026-03-12,12953,August Kranti Rajdhani,NDLS,24.3,3,3,False,False,False,True,6,6
2026-03-12,12267,Mumbai Duronto,MMCT,2.2,3,3,False,False,False,True,1,2
2026-03-12,12267,Mumbai Duronto,NDLS,3.6,3,3,False,False,False,True,2,2
2026-03-12,12903,Golden Temple Mail,MMCT,0.0,3,3,False,False,False,True,1,10
2026-03-12,12903,Golden Temple Mail,BVI,1.2,3,3,False,False,False,True,2,10
2026-03-12,12903,Golden Temple Mail,BL,0.0,3,3,False,False,False,True,3,10
2026-03-12,12903,Golden Temple Mail,ST,0.0,3,3,False,False,False,True,4,10
2026-03-12,12903,Golden Temple Mail,BRC,2.4,3,3,False,False,False,True,5,10
2026-03-12,12903,Golden Temple Mail,RTM,11.0,3,3,False,False,False,True,6,10
2026-03-12,12903,Golden Temple Mail,KOTA,9.7,3,3,False,False,False,True,7,10
2026-03-12,12903,Golden Temple Mail,SWM,4.7,3,3,False,False,False,True,8,10
2026-03-12,12903,Golden Temple Mail,MTJ,24.0,3,3,False,False,False,True,9,10
2026-03-12,12903,Golden Temple Mail,NDLS,38.7,3,3,False,False,False,True,10,10
2026-03-12,12925,Paschim Express,MMCT,4.9,3,3,False,False,False,True,1,9
2026-03-12,12925,Paschim Express,BVI,1.8,3,3,False,False,False,True,2,9
2026-03-12,12925,Paschim Express,ST,0.0,3,3,False,False,False,True,3,9
2026-03-12,12925,Paschim Express,BRC,8.6,3,3,False,False,False,True,4,9
2026-03-12,12925,Paschim Express,RTM,6.2,3,3,False,False,False,True,5,9
2026-03-12,12925,Paschim Express,KOTA,9.3,3,3,False,False,False,True,6,9
2026-03-12,12925,Paschim Express,SWM,10.6,3,3,False,False,False,True,7,9
2026-03-12,12925,Paschim Express,MTJ,5.7,3,3,False,False,False,True,8,9
2026-03-12,12925,Paschim Express,NDLS,19.2,3,3,False,False,False,True,9,9
2026-03-12,12909,Garib Rath,MMCT,1.8,3,3,False,False,False,True,1,6
2026-03-12,12909,Garib Rath,BVI,10.5,3,3,False,False,False,True,2,6
2026-03-12,12909,Garib Rath,ST,5.5,3,3,False,False,False,True,3,6
2026-03-12,12909,Garib Rath,BRC,17.6,3,3,False,False,False,True,4,6
2026-03-12,12909,Garib Rath,KOTA,19.2,3,3,False,False,False,True,5,6
2026-03-12,12909,Garib Rath,NDLS,19.2,3,3,False,False,False,True,6,6
2026-03-12,12137,Punjab Mail,CSMT,14.4,3,3,False,False,False,True,1,12
2026-03-12,12137,Punjab Mail,KYN,8.3,3,3,False,False,False,True,2,12
2026-03-12,12137,Punjab Mail,NMD,26.6,3,3,False,False,False,True,3,12
2026-03-12,12137,Punjab Mail,MMR,39.0,3,3,False,False,False,True,4,12
2026-03-12,12137,Punjab Mail,BSL,34.1,3,3,False,False,False,True,5,12
2026-03-12,12137,Punjab Mail,ET,47.6,3,3,False,False,False,True,6,12
2026-03-12,12137,Punjab Mail,BPL,54.6,3,3,False,False,False,True,7,12
2026-03-12,12137,Punjab Mail,JHS,60.4,3,3,False,False,False,True,8,12
2026-03-12,12137,Punjab Mail,GWL,73.9,3,3,False,False,False,True,9,12
2026-03-12,12137,Punjab Mail,AGC,80.4,3,3,False,False,False,True,10,12
2026-03-12,12137,Punjab Mail,MTJ,89.5,3,3,False,False,False,True,11,12
2026-03-12,12137,Punjab Mail,NDLS,85.8,3,3,False,False,False,True,12,12
2026-03-12,12621,Tamil Nadu Express,CSMT,2.9,3,3,False,False,False,True,1,9
2026-03-12,12621,Tamil Nadu Express,KYN,19.7,3,3,False,False,False,True,2,9
2026-03-12,12621,Tamil Nadu Express,MMR,26.9,3,3,False,False,False,True,3,9
2026-03-12,12621,Tamil Nadu Express,BSL,35.1,3,3,False,False,False,True,4,9
2026-03-12,12621,Tamil Nadu Express,ET,31.4,3,3,False,False,False,True,5,9
2026-03-12,12621,Tamil Nadu Express,BPL,29.0,3,3,False,False,False,True,6,9
2026-03-12,12621,Tamil Nadu Express,JHS,49.2,3,3,False,False,False,True,7,9
2026-03-12,12621,Tamil Nadu Express,AGC,47.1,3,3,False,False,False,True,8,9
2026-03-12,12621,Tamil Nadu Express,NDLS,50.0,3,3,False,False,False,True,9,9
2026-03-12,12261,Mumbai Duronto Central,CSMT,0.0,3,3,False,False,False,True,1,2
2026-03-12,12261,Mumbai Duronto Central,NDLS,6.1,3,3,False,False,False,True,2,2
2026-03-12,12187,Mumbai Garib Rath,CSMT,2.7,3,3,False,False,False,True,1,7
2026-03-12,12187,Mumbai Garib Rath,KYN,20.2,3,3,False,False,False,True,2,7
2026-03-12,12187,Mumbai Garib Rath,BSL,22.9,3,3,False,False,False,True,3,7
2026-03-12,12187,Mumbai Garib Rath,BPL,17.9,3,3,False,False,False,True,4,7
2026-03-12,12187,Mumbai Garib Rath,JHS,21.1,3,3,False,False,False,True,5,7
2026-03-12,12187,Mumbai Garib Rath,GWL,23.7,3,3,False,False,False,True,6,7
2026-03-12,12187,Mumbai Garib Rath,NDLS,25.5,3,3,False,False,False,True,7,7
2026-03-11,12951,Mumbai Rajdhani,MMCT,0.0,3,2,False,False,False,True,1,5
2026-03-11,12951,Mumbai Rajdhani,BRC,3.2,3,2,False,False,False,True,2,5
2026-03-11,12951,Mumbai Rajdhani,KOTA,7.4,3,2,False,False,False,True,3,5
2026-03-11,12951,Mumbai Rajdhani,SWM,7.4,3,2,False,False,False,True,4,5
2026-03-11,12951,Mumbai Rajdhani,NDLS,18.0,3,2,False,False,False,True,5,5
2026-03-11,12953,August Kranti Rajdhani,MMCT,6.5,3,2,False,False,False,True,1,6
2026-03-11,12953,August Kranti Rajdhani,ST,12.6,3,2,False,False,False,True,2,6
2026-03-11,12953,August Kranti Rajdhani,BRC,29.0,3,2,False,False,False,True,3,6
2026-03-11,12953,August Kranti Rajdhani,RTM,24.2,3,2,False,False,False,True,4,6
2026-03-11,12953,August Kranti Rajdhani,KOTA,25.5,3,2,False,False,False,True,5,6
2026-03-11,12953,August Kranti Rajdhani,NDLS,25.7,3,2,False,False,False,True,6,6
2026-03-11,12267,Mumbai Duronto,MMCT,1.3,3,2,False,False,False,True,1,2
2026-03-11,12267,Mumbai Duronto,NDLS,6.2,3,2,False,False,False,True,2,2
2026-03-11,12903,Golden Temple Mail,MMCT,1.3,3,2,False,False,False,True,1,10
2026-03-11,12903,Golden Temple Mail,BVI,16.0,3,2,False,False,False,True,2,10
2026-03-11,12903,Golden Temple Mail,BL,11.0,3,2,False,False,False,True,3,10
2026-03-11,12903,Golden Temple Mail,ST,23.0,3,2,False,False,False,True,4,10
2026-03-11,12903,Golden Temple Mail,BRC,45.7,3,2,False,False,False,True,5,10
2026-03-11,12903,Golden Temple Mail,RTM,50.9,3,2,False,False,False,True,6,10
2026-03-11,12903,Golden Temple Mail,KOTA,60.3,3,2,False,False,False,True,7,10
2026-03-11,12903,Golden Temple Mail,SWM,65.5,3,2,False,False,False,True,8,10
2026-03-11,12903,Golden Temple Mail,MTJ,79.8,3,2,False,False,False,True,9,10
2026-03-11,12903,Golden Temple Mail,NDLS,86.3,3,2,False,False,False,True,10,10
2026-03-11,12925,Paschim Express,MMCT,7.3,3,2,False,False,False,True,1,9
2026-03-11,12925,Paschim Express,BVI,3.0,3,2,False,False,False,True,2,9
2026-03-11,12925,Paschim Express,ST,0.0,3,2,False,False,False,True,3,9
2026-03-11,12925,Paschim Express,BRC,7.9,3,2,False,False,False,True,4,9
2026-03-11,12925,Paschim Express,RTM,8.2,3,2,False,False,False,True,5,9
2026-03-11,12925,Paschim Express,KOTA,16.0,3,2,False,False,False,True,6,9
2026-03-11,12925,Paschim Express,SWM,11.0,3,2,False,False,False,True,7,9
2026-03-11,12925,Paschim Express,MTJ,26.1,3,2,False,False,False,True,8,9
2026-03-11,12925,Paschim Express,NDLS,30.6,3,2,False,False,False,True,9,9
2026-03-11,12909,Garib Rath,MMCT,3.7,3,2,False,False,False,True,1,6
2026-03-11,12909,Garib Rath,BVI,0.0,3,2,False,False,False,True,2,6
2026-03-11,12909,Garib Rath,ST,9.5,3,2,False,False,False,True,3,6
2026-03-11,12909,Garib Rath,BRC,15.1,3,2,False,False,False,True,4,6
2026-03-11,12909,Garib Rath,KOTA,21.9,3,2,False,False,False,True,5,6
2026-03-11,12909,Garib Rath,NDLS,39.4,3,2,False,False,False,True,6,6
2026-03-11,12137,Punjab Mail,CSMT,0.0,3,2,False,False,False,True,1,12
2026-03-11,12137,Punjab Mail,KYN,18.7,3,2,False,False,False,True,2,12
2026-03-11,12137,Punjab Mail,NMD,18.4,3,2,False,False,False,True,3,12
2026-03-11,12137,Punjab Mail,MMR,42.0,3,2,False,False,False,True,4,12
2026-03-11,12137,Punjab Mail,BSL,46.5,3,2,False,False,False,True,5,12
2026-03-11,12137,Punjab Mail,ET,43.4,3,2,False,False,False,True,6,12
2026-03-11,12137,Punjab Mail,BPL,45.8,3,2,False,False,False,True,7,12
2026-03-11,12137,Punjab Mail,JHS,54.6,3,2,False,False,False,True,8,12
2026-03-11,12137,Punjab Mail,GWL,60.3,3,2,False,False,False,True,9,12
2026-03-11,12137,Punjab Mail,AGC,75.1,3,2,False,False,False,True,10,12
2026-03-11,12137,Punjab Mail,MTJ,100.7,3,2,False,False,False,True,11,12
2026-03-11,12137,Punjab Mail,NDLS,96.4,3,2,False,False,False,True,12,12
