date,station_code,station_name,hour,passenger_count,platform_capacity,utilization,crowd_level,day_of_week
2026-03-12,MMCT,Mumbai Central,0,1861,4000,0.465,Moderate,3
2026-03-12,MMCT,Mumbai Central,1,1494,4000,0.373,Low,3
2026-03-12,MMCT,Mumbai Central,2,1067,4000,0.267,Low,3
2026-03-12,MMCT,Mumbai Central,3,1305,4000,0.326,Low,3
2026-03-12,MMCT,Mumbai Central,4,1444,4000,0.361,Low,3
2026-03-12,MMCT,Mumbai Central,5,6144,4000,1.536,Critical,3
2026-03-12,MMCT,Mumbai Central,6,4763,4000,1.191,Critical,3
2026-03-12,MMCT,Mumbai Central,7,15702,4000,3.925,Critical,3
2026-03-12,MMCT,Mumbai Central,8,17684,4000,4.421,Critical,3
2026-03-12,MMCT,Mumbai Central,9,21051,4000,5.263,Critical,3
2026-03-12,MMCT,Mumbai Central,10,8588,4000,2.147,Critical,3
2026-03-12,MMCT,Mumbai Central,11,6479,4000,1.62,Critical,3
2026-03-12,MMCT,Mumbai Central,12,7476,4000,1.869,Critical,3
2026-03-12,MMCT,Mumbai Central,13,4473,4000,1.118,Critical,3
2026-03-12,MMCT,Mumbai Central,14,5219,4000,1.305,Critical,3
2026-03-12,MMCT,Mumbai Central,15,9080,4000,2.27,Critical,3
2026-03-12,MMCT,Mumbai Central,16,10981,4000,2.745,Critical,3
2026-03-12,MMCT,Mumbai Central,17,15878,4000,3.97,Critical,3
2026-03-12,MMCT,Mumbai Central,18,14352,4000,3.588,Critical,3
2026-03-12,MMCT,Mumbai Central,19,17930,4000,4.482,Critical,3
2026-03-12,MMCT,Mumbai Central,20,9862,4000,2.466,Critical,3
2026-03-12,MMCT,Mumbai Central,21,7978,4000,1.994,Critical,3
2026-03-12,MMCT,Mumbai Central,22,6665,4000,1.666,Critical,3
2026-03-12,MMCT,Mumbai Central,23,6778,4000,1.694,Critical,3
2026-03-12,BVI,Borivali,0,524,3000,0.175,Low,3
2026-03-12,BVI,Borivali,1,500,3000,0.167,Low,3
2026-03-12,BVI,Borivali,2,584,3000,0.195,Low,3
2026-03-12,BVI,Borivali,3,436,3000,0.145,Low,3
2026-03-12,BVI,Borivali,4,582,3000,0.194,Low,3
2026-03-12,BVI,Borivali,5,2941,3000,0.98,Critical,3
2026-03-12,BVI,Borivali,6,4487,3000,1.496,Critical,3
2026-03-12,BVI,Borivali,7,9106,3000,3.035,Critical,3
2026-03-12,BVI,Borivali,8,7169,3000,2.39,Critical,3
2026-03-12,BVI,Borivali,9,8188,3000,2.729,Critical,3
2026-03-12,BVI,Borivali,10,5072,3000,1.691,Critical,3
2026-03-12,BVI,Borivali,11,4796,3000,1.599,Critical,3
2026-03-12,BVI,Borivali,12,2791,3000,0.93,Critical,3
